LA - unitary,Geography2,Geography,CountyCode,County,All categories: Country of birth,Nigeria,Western Africa,Middle East,Pakistan,Southern Asia,South-East Asia
Hartlepool,E41000001,E06000001,NA,NA,36,0,0,0,1,0,0
Middlesbrough,E41000002,E06000002,NA,NA,706,27,0,69,26,8,76
Redcar and Cleveland,E41000003,E06000003,NA,NA,17,1,0,3,0,0,0
Stockton-on-Tees,E41000004,E06000004,NA,NA,164,0,3,6,13,0,5
Darlington,E41000005,E06000005,NA,NA,86,3,0,0,0,0,2
Halton,E41000006,E06000006,NA,NA,31,0,0,0,0,0,0
Warrington,E41000007,E06000007,NA,NA,224,2,1,0,5,4,4
Blackburn with Darwen,E41000008,E06000008,NA,NA,85,0,0,0,19,0,2
Blackpool,E41000009,E06000009,NA,NA,117,0,0,0,0,17,1
"Kingston upon Hull, City of",E41000010,E06000010,NA,NA,1069,33,7,52,10,1,72
East Riding of Yorkshire,E41000011,E06000011,NA,NA,201,0,0,1,0,6,1
North East Lincolnshire,E41000012,E06000012,NA,NA,161,0,0,5,0,0,4
North Lincolnshire,E41000013,E06000013,NA,NA,207,1,0,7,5,0,2
York,E41000014,E06000014,NA,NA,1469,12,1,56,27,6,37
Derby,E41000015,E06000015,NA,NA,678,16,8,34,86,6,10
Leicester,E41000016,E06000016,NA,NA,2297,44,7,122,45,34,79
Rutland,E41000017,E06000017,NA,NA,46,2,0,0,0,0,0
Nottingham,E41000018,E06000018,NA,NA,3916,49,27,200,146,10,326
"Herefordshire, County of",E41000019,E06000019,NA,NA,1289,0,0,5,0,0,1
Telford and Wrekin,E41000020,E06000020,NA,NA,182,0,0,4,1,0,0
Stoke-on-Trent,E41000021,E06000021,NA,NA,429,5,2,16,15,5,5
Bath and North East Somerset,E41000022,E06000022,NA,NA,1053,7,4,37,2,4,58
"Bristol, City of",E41000023,E06000023,NA,NA,2216,30,7,53,48,6,145
North Somerset,E41000024,E06000024,NA,NA,134,0,0,0,0,0,4
South Gloucestershire,E41000025,E06000025,NA,NA,404,3,0,5,6,1,57
Plymouth,E41000026,E06000026,NA,NA,536,8,0,17,2,0,22
Torbay,E41000027,E06000027,NA,NA,101,0,0,7,0,0,7
Bournemouth,E41000028,E06000028,NA,NA,1438,2,2,100,6,1,82
Poole,E41000029,E06000029,NA,NA,322,1,0,5,0,0,25
Swindon,E41000030,E06000030,NA,NA,392,5,0,1,8,11,12
Peterborough,E41000031,E06000031,NA,NA,538,1,5,7,36,13,13
Luton,E41000032,E06000032,NA,NA,1234,24,0,32,198,3,9
Southend-on-Sea,E41000033,E06000033,NA,NA,188,6,2,3,5,3,5
Thurrock,E41000034,E06000034,NA,NA,223,41,2,0,10,2,8
Medway,E41000035,E06000035,NA,NA,514,36,3,6,5,8,15
Bracknell Forest,E41000036,E06000036,NA,NA,258,4,1,10,3,9,5
West Berkshire,E41000037,E06000037,NA,NA,287,0,2,2,2,1,6
Reading,E41000038,E06000038,NA,NA,1290,20,5,48,44,42,123
Slough,E41000039,E06000039,NA,NA,696,8,0,10,114,5,25
Windsor and Maidenhead,E41000040,E06000040,NA,NA,474,2,4,10,17,3,20
Wokingham,E41000041,E06000041,NA,NA,285,6,3,6,3,1,11
Milton Keynes,E41000042,E06000042,NA,NA,709,28,2,13,29,3,16
Brighton and Hove,E41000043,E06000043,NA,NA,2481,30,4,107,18,7,114
Portsmouth,E41000044,E06000044,NA,NA,1173,32,9,96,4,2,74
Southampton,E41000045,E06000045,NA,NA,1803,22,5,44,14,12,113
Isle of Anglesey,W40000001,E06000046,NA,NA,148,0,0,12,1,0,1
County Durham,E41000047,E06000047,NA,NA,869,18,1,35,9,2,37
Cheshire East,E41000049,E06000049,NA,NA,380,0,2,7,4,0,10
Cheshire West and Chester,E41000050,E06000050,NA,NA,309,2,2,1,1,0,7
Shropshire,E41000051,E06000051,NA,NA,431,2,0,56,5,0,30
"Cornwall,Isles of Scilly",E41000052,E06000052,NA,NA,392,5,7,0,7,1,15
