Year,Visit-PAK,Visitor-PAK,Visit-IND,Visitor-IND,Visit-AFR,Visitor-AFR,wild-PAK,VDPV-PAK,wild-IND,VDPV-IND,wild-AFR,VDPV-AFR
1993,153906.78,65952.12,303956.84,125434.47,376613.23,262535.17,100,0,400,0,200,0
1994,153906.78,65952.12,303956.84,125434.47,376613.23,262535.17,100,0,400,0,200,0
1995,153906.78,65952.12,303956.84,125434.47,376613.23,262535.17,100,0,400,0,200,0
1996,153906.78,65952.12,303956.84,125434.47,376613.23,262535.17,100,0,400,0,200,0
1997,169477.92,57613.20,439288.97,174566.91,309556.62,245741.38,100,0,400,0,200,0
1998,169477.92,57613.20,439288.97,174566.91,309556.62,245741.38,100,0,400,0,200,0
1999,169477.92,57613.20,439288.97,174566.91,309556.62,245741.38,100,0,400,0,200,0
2000,169477.92,57613.20,439288.97,174566.91,309556.62,245741.38,199,0,265,0,160,0
2001,305028.63,57080.94,494183.82,198996.12,495806.12,270018.51,119,0,268,0,69,1
2002,305028.63,57080.94,494183.82,198996.12,495806.12,270018.51,90,0,1600,0,208,4
2003,305028.63,57080.94,494183.82,198996.12,495806.12,270018.51,103,0,225,0,446,0
2004,305028.63,57080.94,494183.82,198996.12,495806.12,270018.51,53,0,134,0,934,0
2005,305028.63,57080.94,494183.82,198996.12,495806.12,270018.51,28,0,66,0,879,4
2006,403590.26,102477.35,956470.05,359237.39,811982.14,324790.34,40,0,676,0,1189,23
2007,403590.26,102477.35,956470.05,359237.39,811982.14,324790.34,32,0,874,0,367,68
2008,403590.26,102477.35,956470.05,359237.39,811982.14,324790.34,117,0,559,0,912,84
2009,403590.26,102477.35,956470.05,359237.39,811982.14,324790.34,89,0,741,15,691,163
2010,403590.26,102477.35,956470.05,359237.39,811982.14,324790.34,144,0,42,2,657,52
2011,391185.71,62638.34,836576.78,372912.64,724781.91,304785.71,198,0,1,0,350,47
2012,391185.71,62638.34,836576.78,372912.64,724781.91,304785.71,58,16,0,0,128,40
2013,391185.71,62638.34,836576.78,372912.64,724781.91,304785.71,93,48,0,0,80,12
2014,391185.71,62638.34,836576.78,372912.64,724781.91,304785.71,306,22,0,0,17,34
2015,391185.71,62638.34,836576.78,372912.64,724781.91,304785.71,54,2,0,0,0,18
2016,571804.06,101751.60,979589.81,510650.71,894210.98,275882.76,20,1,0,0,4,1
2017,571804.06,101751.60,979589.81,510650.71,894210.98,275882.76,8,0,0,0,0,22
2018,571804.06,101751.60,979589.81,510650.71,894210.98,275882.76,12,0,0,0,0,65
2019,571804.06,101751.60,979589.81,510650.71,894210.98,275882.76,77,5,0,0,0,105
